Detector geometry infos
Layer / Ladder / Module / Mid_Strip / Mid_Segment / Xrange / Yrange / Zrange / Xmid / Ymid / Zmid
5 / 1 / 49 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.3678 / -4.76837e-07 / 68.8069
5 / 1 / 50 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.9722 / -4.76837e-07 / 74.249
5 / 1 / 51 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.3678 / -4.76837e-07 / 75.5308
5 / 1 / 52 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.9722 / -4.76837e-07 / 81.0693
5 / 1 / 53 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.3678 / -4.76837e-07 / 82.0859
5 / 1 / 54 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.9722 / -4.76837e-07 / 87.7184
5 / 1 / 55 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.3678 / -4.76837e-07 / 88.4765
5 / 1 / 56 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.9722 / -4.76837e-07 / 94.2006
5 / 1 / 57 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.3678 / -4.76837e-07 / 94.7067
5 / 1 / 58 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.9722 / -4.76837e-07 / 100.52
5 / 1 / 59 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.3678 / -4.76837e-07 / 100.78
5 / 1 / 60 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.9722 / -4.76837e-07 / 106.681
5 / 1 / 61 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.3678 / -4.76837e-07 / 106.702
5 / 1 / 62 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.9722 / -4.76837e-07 / 112.687
5 / 2 / 0 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 22.002 / 9.11353 / -112.687
5 / 2 / 1 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 21.4436 / 8.88224 / -106.702
